key,en,fa,context,note,status
persian_at_home,Persian spoken at home,صحبت به فارسی در خانه,language charts / DE headline,,draft
language_at_home,Language spoken at home,زبان رایج در خانه,chart title,avoid calque «زبان صحبت‌شده»,draft
mother_tongue,Mother tongue,زبان مادری,CA language chart,,draft
english_only,English only,فقط انگلیسی,language chart category,,draft
other_language,Other language,زبان‌های دیگر,language chart category,,draft
population,Population,جمعیت,nav/tab + charts,,draft
age,Age,سن,chart axis,,draft
age_group,Age group,گروه سنی,chart axis,,draft
sex,Sex,جنسیت,chart splits,alt: جنس (stricter demographic term),draft
male,Male,مرد,chart category,,draft
female,Female,زن,chart category,,draft
median_age,Median age,میانه سنی,text cards,,draft
region,Region,منطقه,UK/US geography,,draft
province,Province,استان,CA geography,,draft
state,State,ایالت,US/AU/DE geography,DE Bundesland also ایالت,draft
county,County,کانتی,US county maps,شهرستان is Iran-specific; media use کانتی,draft
geographic_distribution,Geographic Distribution,پراکندگی جغرافیایی,map section heading,,draft
geo_distribution_in_country,Geographic Distribution in {Country},پراکندگی جغرافیایی در {کشور},map heading pattern,,draft
by_prefix,by ...,به تفکیک,cross-tab pattern,,draft
by_generation,by generation,به تفکیک نسل,chart subtitle / box title,,draft
by_sex,by sex,به تفکیک جنسیت,chart subtitle / box title,,draft
by_state_province,by state/province,به تفکیک ایالت/استان,chart subtitle,,draft
religion,Religion,دین,AU/UK charts,alt: مذهب (denominational; avoid),draft
no_religion,No religion,بدون دین,religion chart category,,draft
marriage,Marriage,ازدواج,US tab,page includes partnerships: ازدواج و زندگی مشترک,draft
source_label,Source:,منبع:,chart source prefix,,draft
based_on,Based on,بر اساس,headline source line,,draft
population_over_time,Population Over Time,جمعیت در گذر زمان,tab label,alt: روند جمعیت,draft
suppressed,"Suppressed (&lt;5,000)",منتشرنشده (کمتر از ۵٬۰۰۰ نفر),hover for suppressed cells (DE),disclosure rule; not «محرمانه»,draft
not_available,not available,در دسترس نیست,missing-data label,,draft
not_stated,Not stated,اظهارنشده,census non-response category,,draft
other,Other,سایر,catch-all category,,draft
total,Total,مجموع,chart legend / rows,alt: کل,draft
methodology,Methodology,روش‌شناسی,methodology page title,alt: روش کار (lighter),draft
bibliography,Bibliography,کتاب‌شناسی,nav tab,alt: فهرست منابع; torn,draft
about,About,درباره,nav tab,alt: درباره این سایت,draft
whats_changed,What's changed,تازه‌های سایت,about-page changelog heading,,draft
per_year_average,per-year average,میانگین سالانه,normalized-bin footnote,,draft
nav_global,Global,جهان,nav tab,alt: نمای جهانی,draft
nav_united_states,United States,آمریکا,nav tab,alt: ایالات متحده (formal); torn,draft
nav_europe,Europe,اروپا,nav tab,,draft
nav_canada,Canada,کانادا,nav tab,,draft
nav_turkiye,Türkiye,ترکیه,nav tab,,draft
nav_israel,Israel,اسرائیل,nav tab,,draft
nav_australia,Australia,استرالیا,nav tab,,draft
nav_armenia,Armenia,ارمنستان,nav tab,,draft
iran,Iran,ایران,site-wide,,draft
netherlands,Netherlands,هلند,pilot country page,,draft
germany,Germany,آلمان,Europe submenu,,draft
united_kingdom,United Kingdom,بریتانیا,Europe submenu,انگلستان is imprecise (England only),draft
sweden,Sweden,سوئد,Europe submenu,,draft
denmark,Denmark,دانمارک,Europe submenu,,draft
norway,Norway,نروژ,Europe submenu,,draft
austria,Austria,اتریش,Europe submenu,,draft
italy,Italy,ایتالیا,Europe submenu,,draft
france,France,فرانسه,Europe submenu,,draft
switzerland,Switzerland,سوئیس,Europe submenu,,draft
finland,Finland,فنلاند,Europe submenu,,draft
world,World,جهان,global page text,,draft
census,census,سرشماری,source lines,,draft
population_register,population register,سامانه ثبت جمعیت,Nordic/NL source descriptions,alt: ثبت احوال (Iran-specific; avoid),draft
survey,survey,پیمایش,Mikrozensus descriptions,نظرسنجی reads as opinion poll; avoid,draft
agency_cbs_nl,CBS (Statistics Netherlands),اداره مرکزی آمار هلند (CBS),NL source lines,acronym stays Latin; always gloss,draft
agency_armstat,Statistics Armenia (ArmStat),کمیته آمار ارمنستان (ArmStat),AM source lines,,draft
agency_un,United Nations,سازمان ملل متحد,global page,,draft
agency_un_desa,UN DESA,اداره امور اقتصادی و اجتماعی سازمان ملل (UN DESA),global source lines,,draft
agency_census_bureau,U.S. Census Bureau,اداره سرشماری آمریکا,US source lines,,draft
agency_statcan,Statistics Canada,اداره آمار کانادا,CA source lines,,draft
agency_destatis,Destatis,اداره فدرال آمار آلمان (Destatis),DE source lines,,draft
agency_bamf,BAMF,اداره فدرال مهاجرت و پناهندگان آلمان (BAMF),DE source lines,,draft
agency_ons,ONS,اداره ملی آمار بریتانیا (ONS),UK source lines,,draft
agency_abs,ABS,اداره آمار استرالیا (ABS),AU source lines,,draft
agency_scb,SCB,اداره آمار سوئد (SCB),SE source lines,,draft
agency_dst,Statistics Denmark,اداره آمار دانمارک (DST),DK source lines,,draft
agency_ssb,Statistics Norway,اداره آمار نروژ (SSB),NO source lines,,draft
agency_eurostat,Eurostat,اداره آمار اتحادیه اروپا (Eurostat),Europe source lines,keep Latin; gloss in Persian,draft
agency_insee,INSEE,اداره ملی آمار فرانسه (INSEE),FR source lines,,draft
agency_cbs_israel,CBS (Israel),اداره مرکزی آمار اسرائیل,IL source lines,CBS collides with Netherlands; always gloss country,draft
